Key,File,Type,UsedInMainMenu,NoTranslate,english
asylumCrusher,blocks,Workstation,,,Asylum Crusher
asylumCrusherDesc,blocks,Workstation,,,"A brutal industrial press that pulverizes ammo and forged metals back into base components."
workstationsT3-3,progression,Workstation,,,Asylum Crusher
asylumRecycleKit9mmBall,items,Item,,,[73ccff]9mm Recycling Kit[-]
asylumRecycleKit9mmBallDesc,items,Item,,,"Open to recover bullet tip, gunpowder, and casing from 9mm Ball."
asylumRecycleKit762Ball,items,Item,,,[73ccff]7.62 Recycling Kit[-]
asylumRecycleKit762BallDesc,items,Item,,,"Open to recover bullet tip, gunpowder, and casing from 7.62 Ball."
asylumRecycleKit44Ball,items,Item,,,[73ccff].44 Recycling Kit[-]
asylumRecycleKit44BallDesc,items,Item,,,"Open to recover bullet tip, gunpowder, and casing from .44 Ball."
asylumRecycleKitShotgunShell,items,Item,,,[73ccff]Shotgun Shell Recycling Kit[-]
asylumRecycleKitShotgunShellDesc,items,Item,,,"Open to recover buckshot, gunpowder, and paper from a shell."
asylumRecycleKit9mmHP,items,Item,,,[73ccff]9mm HP Recycling Kit[-]
asylumRecycleKit9mmHPDesc,items,Item,,,"Open to recover bullet tips and more powder from 9mm HP."
asylumRecycleKit9mmAP,items,Item,,,[73ccff]9mm AP Recycling Kit[-]
asylumRecycleKit9mmAPDesc,items,Item,,,"Open to recover bullet tips and extra powder from 9mm AP."
asylumRecycleKit762HP,items,Item,,,[73ccff]7.62 HP Recycling Kit[-]
asylumRecycleKit762HPDesc,items,Item,,,"Open to recover bullet tips and powder from 7.62 HP."
asylumRecycleKit762AP,items,Item,,,[73ccff]7.62 AP Recycling Kit[-]
asylumRecycleKit762APDesc,items,Item,,,"Open to recover bullet tips and extra powder from 7.62 AP."
asylumRecycleKit44HP,items,Item,,,[73ccff].44 HP Recycling Kit[-]
asylumRecycleKit44HPDesc,items,Item,,,"Open to recover bullet tips and powder from .44 HP."
asylumRecycleKit44AP,items,Item,,,[73ccff].44 AP Recycling Kit[-]
asylumRecycleKit44APDesc,items,Item,,,"Open to recover bullet tips and extra powder from .44 AP."
asylumRecycleKitShotgunSlug,items,Item,,,[73ccff]Shotgun Slug Recycling Kit[-]
asylumRecycleKitShotgunSlugDesc,items,Item,,,"Open to recover bullet tips, powder, and polymers from a slug."
asylumRecycleKitShotgunBreachingSlug,items,Item,,,[73ccff]Shotgun Breaching Slug Recycling Kit[-]
asylumRecycleKitShotgunBreachingSlugDesc,items,Item,,,"Open to recover forged steel, clay, powder, and polymers from a breaching slug."
asylumRecycleKitBulk9mmBall,items,Item,,,[FFD700]Bulk 9mm Ball Recycling Kit[-]
asylumRecycleKitBulk9mmBallDesc,items,Item,,,"Open to recover bullet tips, gunpowder, and casings from 100 rounds of 9mm Ball."
asylumRecycleKitBulk762Ball,items,Item,,,[FFD700]Bulk 7.62 Ball Recycling Kit[-]
asylumRecycleKitBulk762BallDesc,items,Item,,,"Open to recover bullet tips, gunpowder, and casings from 100 rounds of 7.62 Ball."
asylumRecycleKitBulk44Ball,items,Item,,,[FFD700]Bulk .44 Ball Recycling Kit[-]
asylumRecycleKitBulk44BallDesc,items,Item,,,"Open to recover bullet tips, gunpowder, and casings from 100 rounds of .44 Ball."
asylumRecycleKitBulkShotgunShell,items,Item,,,[FFD700]Bulk Shotgun Shell Recycling Kit[-]
asylumRecycleKitBulkShotgunShellDesc,items,Item,,,"Open to recover buckshot, gunpowder, and paper from 100 Shotgun Shells."
asylumRecycleKitBulk9mmHP,items,Item,,,[FFD700]Bulk 9mm HP Recycling Kit[-]
asylumRecycleKitBulk9mmHPDesc,items,Item,,,"Open to recover bullet tips, gunpowder, and casings from 100 rounds of 9mm HP."
asylumRecycleKitBulk9mmAP,items,Item,,,[FFD700]Bulk 9mm AP Recycling Kit[-]
