Key,File,Type,UsedInMainMenu,NoTranslate,english

# AsylumDemonsEndgame Localization
# Endgame uber demon entities with ultimate difficulty
# Color Code: [FF0000] (Bright Red) for Uber Endgame Entities

# ========================================
# UBER HIGHDEMON ENTITY SERIES
# ========================================

# Base Uber Highdemon - No MatColor (Muted Orange)
asylumUberHighdemon,entities,Zombie,,,"[CC7744]Belphegor[-]"

# Void Uber Highdemon - Void MatColor (Dark Purple-Black)
asylumUberHighdemonVoid,entities,Zombie,,,"[4A0E4E]Belphegor the Void Walker[-]"

# Omega Uber Highdemon - Omega MatColor (Brilliant White-Gold)
asylumUberHighdemonOmega,entities,Zombie,,,"[FFD700]Belphegor the Omega[-]"

# Chaos Uber Highdemon - Chaos MatColor (Deep Red)
asylumUberHighdemonChaos,entities,Zombie,,,"[8B0000]Belphegor the Destroyer[-]"

# Nightmare Uber Highdemon - Nightmare MatColor (Dark Blood Red)
asylumUberHighdemonNightmare,entities,Zombie,,,"[660000]Belphegor the Nightmare[-]"

# Abyssal Uber Highdemon - Abyssal MatColor (Near-Black with Blue)
asylumUberHighdemonAbyssal,entities,Zombie,,,"[1A1A2E]Belphegor of the Abyss[-]"

# Transcendent Uber Highdemon - Transcendent MatColor (Ethereal Blue-White)
asylumUberHighdemonTranscendent,entities,Zombie,,,"[87CEEB]Belphegor the Transcendent[-]"

# Volcanic Uber Highdemon - Volcanic MatColor (Molten Orange)
asylumUberHighdemonVolcanic,entities,Zombie,,,"[FF4500]Belphegor the Infernal[-]"

# ========================================
# UBER FATDEMON ENTITY SERIES
# ========================================

# Base Uber Fatdemon - No MatColor (Muted Orange)
asylumUberFatdemon,entities,Zombie,,,"[CC7744]Mammon[-]"

# Void Uber Fatdemon - Void MatColor (Dark Purple-Black)
asylumUberFatdemonVoid,entities,Zombie,,,"[4A0E4E]Mammon the Void Walker[-]"

# Omega Uber Fatdemon - Omega MatColor (Brilliant White-Gold)
asylumUberFatdemonOmega,entities,Zombie,,,"[FFD700]Mammon the Omega[-]"

# Chaos Uber Fatdemon - Chaos MatColor (Deep Red)
asylumUberFatdemonChaos,entities,Zombie,,,"[8B0000]Mammon the Destroyer[-]"

# Nightmare Uber Fatdemon - Nightmare MatColor (Dark Blood Red)
asylumUberFatdemonNightmare,entities,Zombie,,,"[660000]Mammon the Nightmare[-]"

# Abyssal Uber Fatdemon - Abyssal MatColor (Near-Black with Blue)
asylumUberFatdemonAbyssal,entities,Zombie,,,"[1A1A2E]Mammon of the Abyss[-]"

# Transcendent Uber Fatdemon - Transcendent MatColor (Ethereal Blue-White)
asylumUberFatdemonTranscendent,entities,Zombie,,,"[87CEEB]Mammon the Transcendent[-]"

# Volcanic Uber Fatdemon - Volcanic MatColor (Molten Orange)
asylumUberFatdemonVolcanic,entities,Zombie,,,"[FF4500]Mammon the Infernal[-]"

# Radiated Uber Highdemon - Radiated MatColor (Toxic Green)
asylumUberHighdemonRadiated,entities,Zombie,,,"[00FF00]Belphegor the Radiated[-]"

# Radiated Uber Fatdemon - Radiated MatColor (Toxic Green)
asylumUberFatdemonRadiated,entities,Zombie,,,"[00FF00]Mammon the Radiated[-]"

