Key,File,Type,UsedInMainMenu,NoTranslate,english

# AsylumEntities-revised Localization
# Bear family entities with asylum horror theme

# Normal Bear - No MatColor (Muted Orange)
asylumBear,entities,Zombie,,,"[CC7744]Asylum Mutant Bear[-]"

# Feral Bear - No MatColor (Darker Orange)
asylumFeralBear,entities,Zombie,,,"[BB6633]Feral Asylum Mutant Bear[-]"

# Radiated Bear - Green MatColor (Sickly Green)
asylumBearRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Mutant Bear[-]"

# Infernal Bear - Orange-red MatColor (Dark Red-Orange)
asylumBearInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Mutant Bear[-]"

# Charged Bear - Blue MatColor (Steel Blue)
asylumBearCharged,entities,Zombie,,,"[4477AA]Charged Asylum Mutant Bear[-]"

# Cursed Bear - Purple MatColor (Dark Purple)
asylumBearCursed,entities,Zombie,,,"[774499]Cursed Asylum Mutant Bear[-]"

# Alpha Bear - Red MatColor (Blood Red)
asylumBearAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Mutant Bear[-]"

# Normal Biomutant - No MatColor (Muted Orange)
asylumBiomutant,entities,Zombie,,,"[CC7744]Asylum Bio-Mutant[-]"

# Feral Biomutant - No MatColor (Darker Orange)
asylumFeralBiomutant,entities,Zombie,,,"[BB6633]Feral Asylum Bio-Mutant[-]"

# Radiated Biomutant - Green MatColor (Sickly Green)
asylumBiomutantRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Bio-Mutant[-]"

# Infernal Biomutant - Orange-red MatColor (Dark Red-Orange)
asylumBiomutantInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Bio-Mutant[-]"

# Charged Biomutant - Blue MatColor (Steel Blue)
asylumBiomutantCharged,entities,Zombie,,,"[4477AA]Charged Asylum Bio-Mutant[-]"

# Cursed Biomutant - Purple MatColor (Dark Purple)
asylumBiomutantCursed,entities,Zombie,,,"[774499]Cursed Asylum Bio-Mutant[-]"

# Alpha Biomutant - Red MatColor (Blood Red)
asylumBiomutantAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Bio-Mutant[-]"

# Normal Butcherbilly - No MatColor (Muted Orange)
asylumButcherbilly,entities,Zombie,,,"[CC7744]Asylum Butcher Billy[-]"

# Feral Butcherbilly - Dried Blood MatColor (Brownish Red)
asylumFeralButcherbilly,entities,Zombie,,,"[BB6633]Feral Asylum Butcher Billy[-]"

# Radiated Butcherbilly - Green MatColor (Sickly Green)
asylumButcherbillyRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Butcher Billy[-]"

# Infernal Butcherbilly - Orange-red MatColor (Dark Red-Orange)
asylumButcherbillyInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Butcher Billy[-]"

# Charged Butcherbilly - Blue MatColor (Steel Blue)
asylumButcherbillyCharged,entities,Zombie,,,"[4477AA]Charged Asylum Butcher Billy[-]"

# Cursed Butcherbilly - Purple MatColor (Dark Purple)
asylumButcherbillyCursed,entities,Zombie,,,"[774499]Cursed Asylum Butcher Billy[-]"

# Alpha Butcherbilly - Red MatColor (Blood Red)
asylumButcherbillyAlpha,entities,Zombie,,,"[AA3333]Alpha Asylum Butcher Billy[-]"

# Normal Cat - No MatColor (Muted Orange)
asylumCat,entities,Zombie,,,"[CC7744]Asylum Cat[-]"

# Feral Cat - Dried Blood MatColor (Brownish Red)
asylumFeralCat,entities,Zombie,,,"[BB6633]Feral Asylum Feral Cat[-]"

# Radiated Cat - Green MatColor (Sickly Green)
asylumCatRadiated,entities,Zombie,,,"[66AA44]Radiated Asylum Feral Cat[-]"

# Infernal Cat - Orange-red MatColor (Dark Red-Orange)
asylumCatInfernal,entities,Zombie,,,"[AA4422]Infernal Asylum Feral Cat[-]"

# Charged Cat - Blue MatColor (Steel Blue)
