Key,english

perkInfiltratorRank1BWLongDesc,"You can no longer trigger landmines when stepping on them while crouching. You can now pick up candy tin landmines, spike traps and barbed wire(applies to all levels). Landmines and traps trigger 1 second after stepping on them. Take 30% less damage from landmines and traps. Gain 40% bonus crouch speed at night time."
perkInfiltratorRank2BWLongDesc,"You can no longer trigger landmines when stepping on them while crouching. You can now pick up cooking pot landmines. Landmines and traps trigger 2 seconds after stepping on them. Take 45% less damage from landmines and traps. Gain 80% bonus crouch speed at night time."
perkInfiltratorRank3BWLongDesc,"You can no longer trigger landmines when stepping on them while crouching. You can now pick up hubcap landmines. Landmines and traps trigger 3 seconds after stepping on them. Take 60% less damage from landmines and traps. Gain 120% bonus crouch speed at night time."
perkInfiltratorRank4BWLongDesc,"You can no longer trigger landmines when stepping on them while crouching. You can now pick up air filter landmines. Landmines and traps trigger 4 seconds after stepping on them. Take 75% less damage from landmines and traps. Gain 160% bonus crouch speed at night time."
perkInfiltratorRank5BWLongDesc,"You can no longer trigger landmines when stepping on them while crouching. Landmines and traps trigger 5 seconds after stepping on them. Take 90% less damage from landmines and traps. Gain 200% bonus crouch speed at night time."
perkLivingOffTheLandRank1BWLongDesc,"Harvest up to 3 times the amount of crops. Harvest up to 5 additional bonus flat crops. Harvest 10% more seeds and gain the ability of harvesting farm plot blocks by destroying them(applies to all levels). 2% more chance of finding seeds and Southern farming magazines in loot. 30% less resources needed to craft farm plots."
perkLivingOffTheLandRank2BWLongDesc,"Harvest up to 6 times the amount of crops. Harvest up to 10 additional bonus flat crops. Harvest 15% more seeds. 6% more chance of finding seeds and Southern farming magazines in loot. 50% less resources needed to craft farm plots."
perkLivingOffTheLandRank3BWLongDesc,"Harvest up to 9 times the amount of crops. Harvest up to 15 additional bonus flat crops. Harvest 20% more seeds. 10% more chance of finding seeds and Southern farming magazines in loot."
perkTreasureHunterRank1BWLongDesc,"For every 5 blocks dug up the treasure/supplies search radius is reduced by 1m. Without the perk you have to dig up 10 blocks each. Find 50% additional loot in buried treasures. Deal 100% more damage to dirt."
perkTreasureHunterRank2BWLongDesc,"For every 3 blocks dug up the treasure/supplies search radius is reduced by 1m. Find 100% additional loot in buried treasures. Deal 200% more damage to dirt."
perkTreasureHunterRank3BWLongDesc,"For every block dug up the treasure/supplies search radius is reduced by 1m. Find 200% additional loot in buried treasures. Deal 300% more damage to dirt."
perkTreasureHunterRank4BWLongDesc,"Find additional cash and dukes inside buried treasure crates. Deal 400% more damage to dirt."
perkTreasureHunterRank5BWLongDesc,"Find one extra rare armor/weapon/item inside buried treasure crates. Deal 500% more damage to dirt."
perkMasterChefRank1BWLongDesc,"Cook 40% faster. Use 30% less ingredients when cooking. 2% more chance of finding Home cooking Weekly magazines. Food and drinks are 5% more effective."
perkMasterChefRank2BWLongDesc,"Cook 60% faster. Use 40% less ingredients when cooking. Find more food inside dumpsters or trash. 6% more chance of finding Home cooking Weekly magazines. Food and drinks are 15% more effective."
perkMasterChefRank3BWLongDesc,"Cook 80% faster. Use 40% less ingredients when cooking. 10% more chance of finding Home cooking Weekly magazines. Food and drinks are 15% more effective and 1% more effective at providing health."
perkPackMuleRank1BWLongDesc,"Unlock 3 more inventory slots, gain 10% stamina regeneration and 5% run/walk speed. Pocket mods now provide 1 time the amount of their base slots. Base slots stack with the bonus ones. Your backpack has 5% chance to block 100% of incoming damage when hit. (Does not prevent being set on fire by feral burnt zombies, applies to all levels)"
perkPackMuleRank2BWLongDesc,"Unlock 6 more inventory slots, gain 10% stamina regeneration and 9% run/walk speed. Pocket mods now provide 2 times the amount of their base slots. Base slots stack with the bonus ones. Your backpack has 10% chance to block 100% of incoming damage when hit."
perkPackMuleRank3BWLongDesc,"Unlock 10 more inventory slots, gain 10% stamina regeneration and 12% run/walk speed. Pocket mods now provide 3 times the amount of their base slots. Base slots stack with the bonus ones. Your backpack has 15% chance to block 100% of incoming damage when hit."
perkPackMuleRank4BWLongDesc,"Unlock 14 more inventory slots, gain 10% stamina regeneration and 16% run/walk speed. Pocket mods now provide 4 times the amount of their base slots. Base slots stack with the bonus ones. Your backpack has 20% chance to block 100% of incoming damage when hit."
