Key,english

attAgilityRank11Desc,Rank 11: Damage modifier: 115% (head); Dismember chance: 0.5
attAgilityRank11LongDesc,attAgility Rank 11 effects: Damage modifier: perc_add 115% tags=head; Dismember chance: base_add 0.5
attAgilityRank12Desc,Rank 12: Damage modifier: 130% (head); Dismember chance: 0.55
attAgilityRank12LongDesc,attAgility Rank 12 effects: Damage modifier: perc_add 130% tags=head; Dismember chance: base_add 0.55
attAgilityRank13Desc,Rank 13: Damage modifier: 145% (head); Dismember chance: 0.6
attAgilityRank13LongDesc,attAgility Rank 13 effects: Damage modifier: perc_add 145% tags=head; Dismember chance: base_add 0.6
attAgilityRank14Desc,Rank 14: Damage modifier: 160% (head); Dismember chance: 0.65
attAgilityRank14LongDesc,attAgility Rank 14 effects: Damage modifier: perc_add 160% tags=head; Dismember chance: base_add 0.65
attAgilityRank15Desc,Rank 15: Damage modifier: 175% (head); Dismember chance: 0.7
attAgilityRank15LongDesc,attAgility Rank 15 effects: Damage modifier: perc_add 175% tags=head; Dismember chance: base_add 0.7
attAgilityRank16Desc,Rank 16: Damage modifier: 190% (head); Dismember chance: 0.75
attAgilityRank16LongDesc,attAgility Rank 16 effects: Damage modifier: perc_add 190% tags=head; Dismember chance: base_add 0.75
attAgilityRank17Desc,Rank 17: Damage modifier: 205% (head); Dismember chance: 0.8
attAgilityRank17LongDesc,attAgility Rank 17 effects: Damage modifier: perc_add 205% tags=head; Dismember chance: base_add 0.8
attAgilityRank18Desc,Rank 18: Damage modifier: 220% (head); Dismember chance: 0.85
attAgilityRank18LongDesc,attAgility Rank 18 effects: Damage modifier: perc_add 220% tags=head; Dismember chance: base_add 0.85
attAgilityRank19Desc,Rank 19: Damage modifier: 235% (head); Dismember chance: 0.9
attAgilityRank19LongDesc,attAgility Rank 19 effects: Damage modifier: perc_add 235% tags=head; Dismember chance: base_add 0.9
attAgilityRank20Desc,Rank 20: Damage modifier: 250% (head); Dismember chance: 0.95
attAgilityRank20LongDesc,attAgility Rank 20 effects: Damage modifier: perc_add 250% tags=head; Dismember chance: base_add 0.95
attFortitudeRank11Desc,Rank 11: Damage modifier: 115% (head); Dismember chance: 0.5
attFortitudeRank11LongDesc,attFortitude Rank 11 effects: Damage modifier: perc_add 115% tags=head; Dismember chance: base_add 0.5
attFortitudeRank12Desc,Rank 12: Damage modifier: 130% (head); Dismember chance: 0.55
attFortitudeRank12LongDesc,attFortitude Rank 12 effects: Damage modifier: perc_add 130% tags=head; Dismember chance: base_add 0.55
attFortitudeRank13Desc,Rank 13: Damage modifier: 145% (head); Dismember chance: 0.6
attFortitudeRank13LongDesc,attFortitude Rank 13 effects: Damage modifier: perc_add 145% tags=head; Dismember chance: base_add 0.6
attFortitudeRank14Desc,Rank 14: Damage modifier: 160% (head); Dismember chance: 0.65
attFortitudeRank14LongDesc,attFortitude Rank 14 effects: Damage modifier: perc_add 160% tags=head; Dismember chance: base_add 0.65
attFortitudeRank15Desc,Rank 15: Damage modifier: 175% (head); Dismember chance: 0.7
attFortitudeRank15LongDesc,attFortitude Rank 15 effects: Damage modifier: perc_add 175% tags=head; Dismember chance: base_add 0.7
attFortitudeRank16Desc,Rank 16: Damage modifier: 190% (head); Dismember chance: 0.75
attFortitudeRank16LongDesc,attFortitude Rank 16 effects: Damage modifier: perc_add 190% tags=head; Dismember chance: base_add 0.75
attFortitudeRank17Desc,Rank 17: Damage modifier: 205% (head); Dismember chance: 0.8
attFortitudeRank17LongDesc,attFortitude Rank 17 effects: Damage modifier: perc_add 205% tags=head; Dismember chance: base_add 0.8
attFortitudeRank18Desc,Rank 18: Damage modifier: 220% (head); Dismember chance: 0.85
attFortitudeRank18LongDesc,attFortitude Rank 18 effects: Damage modifier: perc_add 220% tags=head; Dismember chance: base_add 0.85
attFortitudeRank19Desc,Rank 19: Damage modifier: 235% (head); Dismember chance: 0.9
attFortitudeRank19LongDesc,attFortitude Rank 19 effects: Damage modifier: perc_add 235% tags=head; Dismember chance: base_add 0.9
attFortitudeRank20Desc,Rank 20: Damage modifier: 250% (head); Dismember chance: 0.95
attFortitudeRank20LongDesc,attFortitude Rank 20 effects: Damage modifier: perc_add 250% tags=head; Dismember chance: base_add 0.95
attIntellectRank11Desc,Rank 11: Damage modifier: 115% (head); Dismember chance: 0.5
attIntellectRank11LongDesc,attIntellect Rank 11 effects: Damage modifier: perc_add 115% tags=head; Dismember chance: base_add 0.5
attIntellectRank12Desc,Rank 12: Damage modifier: 130% (head); Dismember chance: 0.55
attIntellectRank12LongDesc,attIntellect Rank 12 effects: Damage modifier: perc_add 130% tags=head; Dismember chance: base_add 0.55
attIntellectRank13Desc,Rank 13: Damage modifier: 145% (head); Dismember chance: 0.6
attIntellectRank13LongDesc,attIntellect Rank 13 effects: Damage modifier: perc_add 145% tags=head; Dismember chance: base_add 0.6
attIntellectRank14Desc,Rank 14: Damage modifier: 160% (head); Dismember chance: 0.65
attIntellectRank14LongDesc,attIntellect Rank 14 effects: Damage modifier: perc_add 160% tags=head; Dismember chance: base_add 0.65
attIntellectRank15Desc,Rank 15: Damage modifier: 175% (head); Dismember chance: 0.7
attIntellectRank15LongDesc,attIntellect Rank 15 effects: Damage modifier: perc_add 175% tags=head; Dismember chance: base_add 0.7
attIntellectRank16Desc,Rank 16: Damage modifier: 190% (head); Dismember chance: 0.75
attIntellectRank16LongDesc,attIntellect Rank 16 effects: Damage modifier: perc_add 190% tags=head; Dismember chance: base_add 0.75
attIntellectRank17Desc,Rank 17: Damage modifier: 205% (head); Dismember chance: 0.8
attIntellectRank17LongDesc,attIntellect Rank 17 effects: Damage modifier: perc_add 205% tags=head; Dismember chance: base_add 0.8
attIntellectRank18Desc,Rank 18: Damage modifier: 220% (head); Dismember chance: 0.85
attIntellectRank18LongDesc,attIntellect Rank 18 effects: Damage modifier: perc_add 220% tags=head; Dismember chance: base_add 0.85
attIntellectRank19Desc,Rank 19: Damage modifier: 235% (head); Dismember chance: 0.9
attIntellectRank19LongDesc,attIntellect Rank 19 effects: Damage modifier: perc_add 235% tags=head; Dismember chance: base_add 0.9
attIntellectRank20Desc,Rank 20: Damage modifier: 250% (head); Dismember chance: 0.95
attIntellectRank20LongDesc,attIntellect Rank 20 effects: Damage modifier: perc_add 250% tags=head; Dismember chance: base_add 0.95

# Workstations
workbenchT2,Workbench Tier 2
workbenchT2Desc,An upgraded workbench. Functions as a normal workbench.
workbenchT3,Workbench Tier 3
workbenchT3Desc,A top-tier upgraded workbench. Functions as a normal workbench.
attPerceptionRank11Desc,Rank 11: Damage modifier: 115% (head); Dismember chance: 0.5
attPerceptionRank11LongDesc,attPerception Rank 11 effects: Damage modifier: perc_add 115% tags=head; Dismember chance: base_add 0.5
attPerceptionRank12Desc,Rank 12: Damage modifier: 130% (head); Dismember chance: 0.55
attPerceptionRank12LongDesc,attPerception Rank 12 effects: Damage modifier: perc_add 130% tags=head; Dismember chance: base_add 0.55
attPerceptionRank13Desc,Rank 13: Damage modifier: 145% (head); Dismember chance: 0.6
attPerceptionRank13LongDesc,attPerception Rank 13 effects: Damage modifier: perc_add 145% tags=head; Dismember chance: base_add 0.6
attPerceptionRank14Desc,Rank 14: Damage modifier: 160% (head); Dismember chance: 0.65
attPerceptionRank14LongDesc,attPerception Rank 14 effects: Damage modifier: perc_add 160% tags=head; Dismember chance: base_add 0.65
attPerceptionRank15Desc,Rank 15: Damage modifier: 175% (head); Dismember chance: 0.7
attPerceptionRank15LongDesc,attPerception Rank 15 effects: Damage modifier: perc_add 175% tags=head; Dismember chance: base_add 0.7
attPerceptionRank16Desc,Rank 16: Damage modifier: 190% (head); Dismember chance: 0.75
