Key,File,Type,english

# Infernal Armor Codex removed - armors are now loot-only
eaarmorLumberjackHelmet,,,"[8B0000]💀 Infernal Lumberjack Helmet[-]"
eaarmorLumberjackOutfit,,,"[8B0000]💀 Infernal Lumberjack Outfit[-]"
eaarmorLumberjackGloves,,,"[8B0000]💀 Infernal Lumberjack Gloves[-]"
eaarmorLumberjackBoots,,,"[8B0000]💀 Infernal Lumberjack Boots[-]"
eaarmorPreacherHelmet,,,"[8B0000]💀 Infernal Preacher Helmet[-]"
eaarmorPreacherOutfit,,,"[8B0000]💀 Infernal Preacher Outfit[-]"
eaarmorPreacherGloves,,,"[8B0000]💀 Infernal Preacher Gloves[-]"
eaarmorPreacherBoots,,,"[8B0000]💀 Infernal Preacher Boots[-]"
eaarmorRogueHelmet,,,"[8B0000]💀 Infernal Rogue Helmet[-]"
eaarmorRogueOutfit,,,"[8B0000]💀 Infernal Rogue Outfit[-]"
eaarmorRogueGloves,,,"[8B0000]💀 Infernal Rogue Gloves[-]"
eaarmorRogueBoots,,,"[8B0000]💀 Infernal Rogue Boots[-]"
eaarmorAthleticHelmet,,,"[8B0000]💀 Infernal Athletic Helmet[-]"
eaarmorAthleticOutfit,,,"[8B0000]💀 Infernal Athletic Outfit[-]"
eaarmorAthleticGloves,,,"[8B0000]💀 Infernal Athletic Gloves[-]"
eaarmorAthleticBoots,,,"[8B0000]💀 Infernal Athletic Boots[-]"
eaarmorEnforcerHelmet,,,"[8B0000]💀 Infernal Enforcer Helmet[-]"
eaarmorEnforcerOutfit,,,"[8B0000]💀 Infernal Enforcer Outfit[-]"
eaarmorEnforcerGloves,,,"[8B0000]💀 Infernal Enforcer Gloves[-]"
eaarmorEnforcerBoots,,,"[8B0000]💀 Infernal Enforcer Boots[-]"
eaarmorFarmerHelmet,,,"[DC143C]🔥 Infernal Farmer Helmet[-]"
eaarmorFarmerOutfit,,,"[DC143C]🔥 Infernal Farmer Outfit[-]"
eaarmorFarmerGloves,,,"[DC143C]🔥 Infernal Farmer Gloves[-]"
eaarmorFarmerBoots,,,"[DC143C]🔥 Infernal Farmer Boots[-]"
eaarmorBikerHelmet,,,"[DC143C]🔥 Infernal Biker Helmet[-]"
eaarmorBikerOutfit,,,"[DC143C]🔥 Infernal Biker Outfit[-]"
eaarmorBikerGloves,,,"[DC143C]🔥 Infernal Biker Gloves[-]"
eaarmorBikerBoots,,,"[DC143C]🔥 Infernal Biker Boots[-]"
eaarmorScavengerHelmet,,,"[DC143C]🔥 Infernal Scavenger Helmet[-]"
eaarmorScavengerOutfit,,,"[DC143C]🔥 Infernal Scavenger Outfit[-]"
eaarmorScavengerGloves,,,"[DC143C]🔥 Infernal Scavenger Gloves[-]"
eaarmorScavengerBoots,,,"[DC143C]🔥 Infernal Scavenger Boots[-]"
eaarmorRangerHelmet,,,"[DC143C]🔥 Infernal Ranger Helmet[-]"
eaarmorRangerOutfit,,,"[DC143C]🔥 Infernal Ranger Outfit[-]"
eaarmorRangerGloves,,,"[DC143C]🔥 Infernal Ranger Gloves[-]"
eaarmorRangerBoots,,,"[DC143C]🔥 Infernal Ranger Boots[-]"
eaarmorCommandoHelmet,,,"[DC143C]🔥 Infernal Commando Helmet[-]"
eaarmorCommandoOutfit,,,"[DC143C]🔥 Infernal Commando Outfit[-]"
eaarmorCommandoGloves,,,"[DC143C]🔥 Infernal Commando Gloves[-]"
eaarmorCommandoBoots,,,"[DC143C]🔥 Infernal Commando Boots[-]"
eaarmorAssassinHelmet,,,"[DC143C]🔥 Infernal Assassin Helmet[-]"
eaarmorAssassinOutfit,,,"[DC143C]🔥 Infernal Assassin Outfit[-]"
eaarmorAssassinGloves,,,"[DC143C]🔥 Infernal Assassin Gloves[-]"
eaarmorAssassinBoots,,,"[DC143C]🔥 Infernal Assassin Boots[-]"
eaarmorMinerHelmet,,,"[FF0000]💀 Infernal Miner Helmet[-]"
eaarmorMinerOutfit,,,"[FF0000]💀 Infernal Miner Outfit[-]"
eaarmorMinerGloves,,,"[FF0000]💀 Infernal Miner Gloves[-]"
eaarmorMinerBoots,,,"[FF0000]💀 Infernal Miner Boots[-]"
eaarmorNomadHelmet,,,"[FF0000]💀 Infernal Nomad Helmet[-]"
eaarmorNomadOutfit,,,"[FF0000]💀 Infernal Nomad Outfit[-]"
eaarmorNomadGloves,,,"[FF0000]💀 Infernal Nomad Gloves[-]"
eaarmorNomadBoots,,,"[FF0000]💀 Infernal Nomad Boots[-]"
eaarmorNerdHelmet,,,"[FF0000]💀 Infernal Nerd Helmet[-]"
eaarmorNerdOutfit,,,"[FF0000]💀 Infernal Nerd Outfit[-]"
eaarmorNerdGloves,,,"[FF0000]💀 Infernal Nerd Gloves[-]"
eaarmorNerdBoots,,,"[FF0000]💀 Infernal Nerd Boots[-]"
eaarmorRaiderHelmet,,,"[FF0000]💀 Infernal Raider Helmet[-]"
