Key,File,Type,UsedInMainMenu,NoTranslate,english
# Asylum Legendary Weapons - Forged in the depths of madness
# "Where sanity ends, legendary power begins"

SMAAutumnsCall,Items,Weapons,,,"[FFD700]Asylum Crimson Eclipse[fdee00]"
SMAAutumnsCallDesc,Items,Weapons,,,"[FF0000]Forged in the asylum's blood-soaked chambers[FFFFFF], this [8B0000]cursed blade[FFFFFF] was crafted by a [990000]deranged sorcerer[FFFFFF] whose final spell etched [FF4500]runes of immense power[FFFFFF] into the metal.\n[FF0000]The crimson glow heralds the fall of those who dare cross its path[FFFFFF], [8B0000]eclipsing their fate[FFFFFF] in the [990000]shadows of madness[FFFFFF].\n\n[FFFF00]Scales with Deep Cuts[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

asylumgrimscythe,Items,Weapons,,,"[FFD700]Asylum Grim Scythe[fdee00]"
asylumgrimscytheDesc,Items,Weapons,,,"[8B0000]Born from the darkest depths of the asylum's torture chambers[FFFFFF], this [FF0000]massive two-handed scythe[FFFFFF] was forged by [990000]demented souls[FFFFFF] who sought to harvest more than just crops.\n[FF4500]Its curved blade whispers of death[FFFFFF] as it [8B0000]reaps through flesh and bone[FFFFFF] with [FF0000]devastating sweeps[FFFFFF], leaving only [990000]madness and despair[FFFFFF] in its wake.\n\n[FFFF00]Scales with Deep Cuts[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMABrasswindBlade,Items,Weapons,,,"[FFD700]Asylum Brasswind Tormentor[fdee00]"
SMABrasswindBladeDesc,Items,Weapons,,,"[B8860B]Once wielded by the asylum's head warden[FFFFFF], this [FF4500]electrified blade[FFFFFF] was used to [8B0000]discipline unruly patients[FFFFFF] with [1E90FF]lightning-fast strikes[FFFFFF].\n[FF0000]Now it commands the wind with each swing[FFFFFF], [8B0000]guiding its wielder[FFFFFF] through the [990000]storm of eternal torment[FFFFFF].\n\n[FFFF00]Scales with Electrocutioner[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMASerpentsEdge,Items,Weapons,,,"[FFD700]Asylum Serpent's Venom[fdee00]"
SMASerpentsEdgeDesc,Items,Weapons,,,"[8B0000]Forged from the spine of a patient[FFFFFF] who [FF0000]died from experimental venom injections[FFFFFF], this [990000]sinister blade[FFFFFF] glows with [FF4500]toxic essence[FFFFFF].\n[FF0000]Its edge strikes with the silent precision of death[FFFFFF], leaving [8B0000]no trace but the glow[FFFFFF] of its [990000]fatal mark[FFFFFF].\n\n[FFFF00]Scales with Deep Cuts[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMAMjölnirsEcho,Items,Weapons,,,"[FFD700]Asylum Thunder Crusher[fdee00]"
SMAMjölnirsEchoDesc,Items,Weapons,,,"[B8860B]Adorned with gold carvings[FFFFFF] stolen from the asylum's [FF4500]crematorium[FFFFFF], this [8B0000]thunderous weapon[FFFFFF] echoes the [990000]screams of forgotten patients[FFFFFF].\n[FF0000]When wielded, it strikes with the force of electroshock therapy[FFFFFF], sending [8B0000]shockwaves[FFFFFF] that resound like [990000]ancient torment[FFFFFF].\n\n[FFFF00]Scales with Skull Crusher[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMAAbyssalReach,Items,Weapons,,,"[FFD700]Asylum Abyssal Piercer[fdee00]"
SMAAbyssalReachDesc,Items,Weapons,,,"[8B0000]Embedded with a pink crystal[FFFFFF] from the asylum's [FF4500]experimental lab[FFFFFF], this [990000]cursed spear[FFFFFF] appears [B8860B]petrified by dark magic[FFFFFF].\n[FF0000]The spear's eerie glow channels the dark energy of the abyss[FFFFFF], [8B0000]piercing through shadows[FFFFFF] with [990000]chilling precision[FFFFFF].\n\n[FFFF00]Scales with Javelin Master[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMAWhisperingDeath,Items,Weapons,,,"[FFD700]Asylum Runescar Blade[fdee00]"
SMAWhisperingDeathDesc,Items,Weapons,,,"[DCDCDC]Gleaming with a polished silver surface[FFFFFF], this [8B0000]surgical blade[FFFFFF] bears [FF0000]intricate engravings[FFFFFF] etched by [990000]deranged patients[FFFFFF] during their [FF4500]final moments[FFFFFF].\n[FF0000]The knife's precise edge uncovers hidden paths to death[FFFFFF], [8B0000]revealing secrets[FFFFFF] buried in [990000]asylum shadows[FFFFFF].\n\n[FFFF00]Scales with Deep Cuts[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMARadiance,Items,Weapons,,,"[FFD700]Asylum Divine Punisher[fdee00]"
SMARadianceDesc,Items,Weapons,,,"[B8860B]A formidable club carried by asylum chaplains[FFFFFF], its [8B4513]solid form[FFFFFF] is etched with [FF0000]symbols of twisted faith[FFFFFF] and [990000]divine punishment[FFFFFF].\n[FF0000]Though it lacks mystical glow, its strikes are infused with righteous fury[FFFFFF], bringing [8B0000]clarity through pain[FFFFFF] and [990000]justice through suffering[FFFFFF].\n\n[FFFF00]Scales with Pummel Pete[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMAGrimVortex,Items,Weapons,,,"[FFD700]Asylum Grim Harvester[fdee00]"
SMAGrimVortexDesc,Items,Weapons,,,"[8B0000]A fearsome scythe[FFFFFF] used in the asylum's [FF4500]body disposal operations[FFFFFF], its [990000]curved blade[FFFFFF] seems to [FF0000]pull shadows into its wake[FFFFFF].\n[FF0000]Each swing creates a swirling maelstrom of darkness[FFFFFF], [8B0000]drawing in and dispelling[FFFFFF] the [990000]spirits of the tormented[FFFFFF].\n\n[FFFF00]Scales with Deep Cuts[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMACrimsonWrath,Items,Weapons,,,"[FFD700]Asylum Crimson Fury[fdee00]"
SMACrimsonWrathDesc,Items,Weapons,,,"[8B0000]A dark red sword[FFFFFF] forged in the asylum's [FF4500]furnace of rage[FFFFFF], its blade [FF0000]marked with the deep stains[FFFFFF] of [990000]countless patient executions[FFFFFF].\n[FF0000]With each swing, its menacing edge delivers swift vengeance[FFFFFF], leaving only [8B0000]echoes of wrathful fury[FFFFFF] and [990000]screams of the damned[FFFFFF].\n\n[FFFF00]Scales with Deep Cuts[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMAStoneboundHammer,Items,Weapons,,,"[FFD700]Asylum Stone Crusher[fdee00]"
SMAStoneboundHammerDesc,Items,Weapons,,,"[8B4513]A sturdy weapon forged from asylum foundation stones[FFFFFF], its [B8860B]weight and durability[FFFFFF] are matched only by the [FF0000]suffering it has witnessed[FFFFFF].\n[FF0000]Every blow resonates with the power of the earth[FFFFFF], [8B0000]breaking barriers[FFFFFF] and [990000]fortifying the wielder's resolve[FFFFFF] through [FF4500]righteous brutality[FFFFFF].\n\n[FFFF00]Scales with Pummel Pete[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMAClockworkReaver,Items,Weapons,,,"[FFD700]Asylum Clockwork Tormentor[fdee00]"
SMAClockworkReaverDesc,Items,Weapons,,,"[8B4513]A versatile sword-baton[FFFFFF] with [B8860B]intricate mechanized gears[FFFFFF] salvaged from the asylum's [FF4500]electroshock equipment[FFFFFF] that [FF0000]hum with malevolent energy[FFFFFF].\n[FF0000]Each swing combines precision engineering with devastating impact[FFFFFF], its [8B0000]clockwork design[FFFFFF] ensuring [990000]elegant efficiency[FFFFFF] in [FF4500]systematic torture[FFFFFF].\n\n[FFFF00]Scales with Electrocutioner[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMAReapersMaul,Items,Weapons,,,"[FFD700]Asylum Reaper's Judgment[fdee00]"
SMAReapersMaulDesc,Items,Weapons,,,"[8B0000]A fearsome two-handed warhammer[FFFFFF] adorned with [FF0000]menacing skulls[FFFFFF] from the asylum's [990000]most violent patients[FFFFFF] mounted on each side.\n[FF0000]When swung, it delivers crushing blows imbued with the dread[FFFFFF] of [8B0000]those who have fallen[FFFFFF], each impact [990000]echoing the grim reaper's call[FFFFFF] through the [FF4500]halls of madness[FFFFFF].\n\n[FFFF00]Scales with Skull Crusher[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMADrakesFang,Items,Weapons,,,"[FFD700]Asylum Glyphbound Ripper[fdee00]"
SMADrakesFangDesc,Items,Weapons,,,"[B8860B]Features intricate engravings[FFFFFF] that tell the tale of [FF0000]ancient asylum experiments[FFFFFF] and [990000]forgotten lobotomies[FFFFFF] carved by [8B0000]deranged surgeons[FFFFFF].\n[FF0000]Each cut is guided by the runes etched into its blade[FFFFFF], [8B0000]unlocking hidden powers[FFFFFF] and [990000]revealing secrets[FFFFFF] long buried in [FF4500]asylum shadows[FFFFFF].\n\n[FFFF00]Scales with Deep Cuts[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMAIronwyrm,Items,Weapons,,,"[FFD700]Asylum Ironwyrm Spear[fdee00]"
SMAIronwyrmDesc,Items,Weapons,,,"[B8860B]Forged from patient bones[FFFFFF] and adorned with [FFD700]golden wings[FFFFFF] from the asylum's [FF4500]crematorium decorations[FFFFFF], this [8B0000]unholy weapon[FFFFFF] channels [990000]twisted divine might[FFFFFF].\n[FF0000]It channels corrupted holy power to vanquish enemies[FFFFFF] but [8B0000]tests its wielder's sanity[FFFFFF], as only the [990000]truly mad[FFFFFF] can resist its [FF4500]dark whispers[FFFFFF].\n\n[FFFF00]Scales with Javelin Master[-]\n\n[FF0000]Uses asylum legendary repair kits to repair[-]"

SMALWDragonFist,Items,Weapons,,,"[FFD700]Asylum Drakefang Crushers[fdee00]"
