Key,File,Type,UsedInMainMenu,NoTranslate,english
# BACKUP: Original localization backed up to Localization_Original_Backup.txt
# Asylum Legendary Weapons - Forged in the depths of madness
# "Where sanity ends, legendary power begins"
SMAAutumnsCall,Items,Weapons,,,"Crimson Eclipse"
SMAAutumnsCallDesc,Items,Weapons,,,"Crimson Eclipse was crafted by an ancient sorcerer whose final spell etched a rune of immense power into the blade.\nThe rune’s crimson glow is said to herald the fall of those who dare to cross its path, eclipsing their fate in shadows.\n\n\n\nScales with Deep Cuts.\n\n\n\n\nUses legendary repair kits to repair."

SMABrasswindBlade,Items,Weapons,,,"Brasswind Blade"
SMABrasswindBladeDesc,Items,Weapons,,,"Brasswind Blade was once the favored weapon of a legendary airship captain, renowned for its lightning-fast strikes.\nNow, it commands the wind with each swing, guiding its wielder through the storm of battle.\n\n\n\nScales with Electrocutioner.\n\n\n\n\nUses legendary repair kits to repair."

SMASerpentsEdge,Items,Weapons,,,"Serpent's Edge"
SMASerpentsEdgeDesc,Items,Weapons,,,"Serpent's Edge glows with a sinister light, said to be the venomous essence of a long-extinct serpent.\nIts blade strikes with the silent precision of a serpent's bite, leaving no trace but the glow of its fatal mark.\n\n\n\nScales with Deep Cuts.\n\n\n\n\nUses legendary repair kits to repair."

SMAMjölnirsEcho,Items,Weapons,,,"Mjölnir's Echo"
SMAMjölnirsEchoDesc,Items,Weapons,,,"Mjölnir's Echo is adorned with intricate gold carvings, echoing the grandeur of forgotten deities.\nWhen wielded, it strikes with a thunderous force, sending shockwaves that resound like the roar of ancient storms.\n\n\n\nScales with Skull Crusher.\n\n\n\n\nUses legendary repair kits to repair."

SMAAbyssalReach,Items,Weapons,,,"Abyssal Reach"
SMAAbyssalReachDesc,Items,Weapons,,,"Abyssal Reach boasts a pink crystal embedded in a handle that appears petrified by ancient magic.\nThe spear’s eerie glow and unyielding grip channel the dark energy of the abyss, piercing through shadows with chilling precision.\n\n\n\nScales with Javelin Master.\n\n\n\n\nUses legendary repair kits to repair."

SMAWhisperingDeath,Items,Weapons,,,"Runescar Blade"
SMAWhisperingDeathDesc,Items,Weapons,,,"Runescar Blade gleams with a polished silver surface, its intricate engravings etched deeply into the metal.\nThe knife's precise edge uncovers hidden paths and truths, revealing secrets that lie just beneath the surface with each cut.\n\n\n\nScales with Deep Cuts.\n\n\n\n\nUses legendary repair kits to repair."

SMARadiance,Items,Weapons,,,"Radiance"
SMARadianceDesc,Items,Weapons,,,"Radiance is a formidable club carried by paladins, its solid form etched with intricate symbols of faith.\nThough it lacks a mystical glow, its strikes are infused with divine strength, bringing clarity and justice to every battle.\n\n\n\nScales with Pummel Pete.\n\n\n\n\nUses legendary repair kits to repair."

SMAGrimVortex,Items,Weapons,,,"Grim Vortex"
SMAGrimVortexDesc,Items,Weapons,,,"Grim Vortex is a fearsome scythe with a curved blade that seems to pull shadows into its wake.\nEach swing creates a swirling maelstrom of darkness, drawing in and dispelling the spirits of those who fall before it.\n\n\n\nScales with Deep Cuts.\n\n\n\n\nUses legendary repair kits to repair."

SMACrimsonWrath,Items,Weapons,,,"Crimson Wrath"
SMACrimsonWrathDesc,Items,Weapons,,,"Crimson Wrath is a dark red sword, its blade marked with the deep stains of countless battles.\nWith each swing, its menacing edge delivers swift, relentless vengeance, leaving only echoes of its wrathful fury.\n\n\n\nScales with Deep Cuts.\n\n\n\n\nUses legendary repair kits to repair."

SMAStoneboundHammer,Items,Weapons,,,"Stonebound Hammer"
SMAStoneboundHammerDesc,Items,Weapons,,,"Stonebound Hammer is a sturdy one-handed weapon forged from solid rock, its weight and durability unmatched.\nEvery blow it delivers resonates with the power of the earth itself, breaking barriers and fortifying the wielder's resolve.\n\n\n\nScales with Pummel Pete.\n\n\n\n\nUses legendary repair kits to repair."

SMAClockworkReaver,Items,Weapons,,,"Clockwork Reaver"
SMAClockworkReaverDesc,Items,Weapons,,,"Clockwork Reaver is a versatile sword-baton with intricate, mechanized gears that hum softly as it moves.\nEach swing combines precision engineering with devastating impact, its clockwork design ensuring both elegance and efficiency in combat.\n\n\n\nScales with Electrocutioner.\n\n\n\n\nUses legendary repair kits to repair."

SMAReapersMaul,Items,Weapons,,,"Reaper's Maul"
SMAReapersMaulDesc,Items,Weapons,,,"Reaper's Maul is a fearsome two-handed warhammer adorned with menacing skulls on each side.\nWhen swung, it delivers crushing blows imbued with the dread of those who have fallen before it, each impact echoing the grim reaper's call.\n\n\n\nScales with Skull Crusher.\n\n\n\n\nUses legendary repair kits to repair."

SMADrakesFang,Items,Weapons,,,"Glyphbound Dagger"
SMADrakesFangDesc,Items,Weapons,,,"Glyphbound Dagger features intricate engravings that tell the tale of ancient magic and forgotten lore.\nEach cut it makes is guided by the runes etched into its blade, unlocking hidden powers and revealing secrets long buried in shadow.\n\n\n\nScales with Deep Cuts.\n\n\n\n\nUses legendary repair kits to repair."

SMAIronwyrm,Items,Weapons,,,"Ironwyrm"
