Key,File,Type,UsedInMainMenu,NoTranslate,English,Spanish,French,German,Italian,Japanese,Koreana,Polish,Brazilian,Russian,Turkish,Schinese,Tchinese,SpanishMexico

# Asylum Quest Class System - Localization
# Advanced class-based quest system for The Asylum
# Includes Asylum integration localization

quest_start_class_quests,,,,,"Asylum Quest Class System",,,,
quest_start_class_quests_subtitle,,,,,"Choose Your Path",,,,
quest_start_class_quests_desc,,,,,"Welcome to the Asylum Quest Class System! You now have access to 7 specialized quest lines.",,,,
quest_start_class_quests_description_title,,,,,"Class Quest System Activated",,,,
quest_start_class_quests_description,,,,,"Welcome to the Asylum Quest Class System! You now have access to 7 specialized quest lines: Builder, Farmer, Chef, Hunter, Medic, Mechanic, and Soldier. Each class offers unique rewards, progression, and challenges. If you chose an Asylum starter class, you'll get bonus integration quests! Choose your path and begin your journey!",,,,

# Asylum Integration Quest Localization
quest_AsylumB_start,,,,,"Asylum Builder Integration",,,,
quest_AsylumB_start_subtitle,,,,,"Groundskeeper's Knowledge",,,,
quest_AsylumB_start_desc,,,,,"Your experience as an asylum groundskeeper gives you unique insights into construction and mining. This knowledge will serve you well in your Builder quest line.",,,,
quest_AsylumF_start,,,,,"Asylum Farmer Integration",,,,
quest_AsylumF_start_subtitle,,,,,"Garden Therapy Experience",,,,
quest_AsylumF_start_desc,,,,,"Your garden therapy sessions taught you the secrets of growing life from death. This knowledge enhances your farming abilities.",,,,
quest_AsylumC_start,,,,,"Asylum Chef Integration",,,,
quest_AsylumC_start_subtitle,,,,,"Kitchen Therapy Training",,,,
quest_AsylumC_start_desc,,,,,"Your kitchen therapy training taught you the art of cooking and nutrition. This culinary knowledge will enhance your Chef quest progression.",,,,
quest_AsylumH_start,,,,,"Asylum Hunter Integration",,,,
quest_AsylumH_start_subtitle,,,,,"Security Training Background",,,,
quest_AsylumH_start_desc,,,,,"Your security guard background provides excellent training for hunting and survival. This experience enhances your Hunter abilities.",,,,
quest_AsylumM_start,,,,,"Asylum Medic Integration",,,,
quest_AsylumM_start_subtitle,,,,,"Medical Staff Experience",,,,
quest_AsylumM_start_desc,,,,,"Your background as asylum medical staff gives you advanced knowledge of healing and medicine. This expertise enhances your Medic quest line.",,,,
quest_AsylumMech_start,,,,,"Asylum Mechanic Integration",,,,
quest_AsylumMech_start_subtitle,,,,,"Workshop Therapy Skills",,,,
quest_AsylumMech_start_desc,,,,,"Your workshop therapy sessions taught you to repair broken things. This mechanical knowledge enhances your Mechanic abilities.",,,,
quest_AsylumS_start,,,,,"Asylum Soldier Integration",,,,
quest_AsylumS_start_subtitle,,,,,"Military Orderly Training",,,,
quest_AsylumS_start_desc,,,,,"Your military orderly background provides combat training and tactical knowledge. This experience enhances your Soldier quest progression.",,,,

# Asylum Class Quest Localization
quest_AsylumB,,,,,"The Gravedigger",,,,
quest_AsylumB1,,,,,"The Gravedigger 1/30",,,,
quest_AsylumB1_desc,,,,,"The asylum's abandoned wings are filled with salvageable wood. Gather timber from the decaying structures to begin your reconstruction efforts.",,,,
quest_AsylumB1_subtitle,,,,,"Asylum Salvage 1/4",,,,
quest_AsylumB2,,,,,"The Gravedigger 2/30",,,,
quest_AsylumB2_desc,,,,,"Craft wooden frames from the asylum's salvaged timber. These basic structures will form the skeleton of your fortifications against the corrupted.",,,,
quest_AsylumB2_subtitle,,,,,"Asylum Salvage 2/4",,,,
quest_AsylumB3,,,,,"The Gravedigger 3/30",,,,
quest_AsylumB3_desc,,,,,"Place wooden frames throughout your asylum sanctuary. Each frame represents a barrier between you and the madness that lurks beyond.",,,,
quest_AsylumB3_subtitle,,,,,"Asylum Salvage 3/4",,,,
quest_AsylumB4,,,,,"The Gravedigger 4/30",,,,
quest_AsylumB4_desc,,,,,"Upgrade wooden frames to reinforce your asylum shelter. The corrupted grow stronger each night - your walls must be stronger still.",,,,
quest_AsylumB4_subtitle,,,,,"Asylum Salvage 4/4",,,,
quest_AsylumB5,,,,,"The Gravedigger 5/30",,,,
quest_AsylumB5_desc,,,,,"The asylum's foundation stones lie scattered across the grounds. Gather these remnants of the old world to build something stronger than mere wood.",,,,
quest_AsylumB5_subtitle,,,,,"Stone Foundations 1/4",,,,
quest_AsylumB6,,,,,"The Gravedigger 6/30",,,,
quest_AsylumB6_desc,,,,,"Clay deposits from the asylum's therapy gardens can be molded into bricks. This earth, soaked in years of madness, makes surprisingly resilient building material.",,,,
quest_AsylumB6_subtitle,,,,,"Stone Foundations 2/4",,,,
quest_AsylumB7,,,,,"The Gravedigger 7/30",,,,
quest_AsylumB7_desc,,,,,"Cobblestones from the asylum's courtyard paths hold memories of countless patients. Repurpose these stones to fortify your sanctuary.",,,,
quest_AsylumB7_subtitle,,,,,"Stone Foundations 3/4",,,,
quest_AsylumB8,,,,,"The Gravedigger 8/30",,,,
quest_AsylumB8_desc,,,,,"Upgrade your wooden structures with stone. The asylum's walls have stood for decades - your fortifications must endure even longer.",,,,
quest_AsylumB8_subtitle,,,,,"Stone Foundations 4/4",,,,
quest_AsylumB9,,,,,"The Gravedigger 9/30",,,,
quest_AsylumB9_desc,,,,,"Scrap iron from the asylum's rusted infrastructure is abundant. Salvage this corroded metal to forge better tools for your reconstruction.",,,,
quest_AsylumB9_subtitle,,,,,"Iron Salvage 1/7",,,,
quest_AsylumB10,,,,,"The Gravedigger 10/30",,,,
quest_AsylumB10_desc,,,,,"More clay is needed for the asylum's reconstruction. The therapy gardens hold endless supplies of this moldable earth.",,,,
quest_AsylumB10_subtitle,,,,,"Iron Salvage 2/7",,,,
quest_AsylumB11,,,,,"The Gravedigger 11/30",,,,
quest_AsylumB11_desc,,,,,"Forge iron from the asylum's scrap metal. The old world's refuse becomes the new world's foundation.",,,,
quest_AsylumB11_subtitle,,,,,"Iron Salvage 3/7",,,,
quest_AsylumB12,,,,,"The Gravedigger 12/30",,,,
quest_AsylumB12_desc,,,,,"Craft an iron claw hammer from the asylum's workshop. This tool will help you repair what madness has broken.",,,,
quest_AsylumB12_subtitle,,,,,"Iron Salvage 4/7",,,,
quest_AsylumB13,,,,,"The Gravedigger 13/30",,,,
quest_AsylumB13_desc,,,,,"Forge an iron fireaxe in the asylum's workshop. Wood and flesh yield equally to its corrupted edge.",,,,
quest_AsylumB13_subtitle,,,,,"Iron Salvage 5/7",,,,
quest_AsylumB14,,,,,"The Gravedigger 14/30",,,,
quest_AsylumB14_desc,,,,,"Craft an iron pickaxe to extract resources from the asylum's depths. The earth remembers every experiment conducted here.",,,,
quest_AsylumB14_subtitle,,,,,"Iron Salvage 6/7",,,,
quest_AsylumB15,,,,,"The Gravedigger 15/30",,,,
quest_AsylumB15_desc,,,,,"Forge an iron shovel to dig through the asylum's cursed soil. What you unearth may be better left buried.",,,,
quest_AsylumB15_subtitle,,,,,"Iron Salvage 7/7",,,,
