Key,File,Type,english

resourceDepletedUraniumCore,,,Depleted Uranium Core
resourceDepletedUraniumCoreDesc,,,"[66FF66]Processed uranium core[FFFFFF] refined from [66FF66]enriched uranium[FFFFFF] for ammunition manufacturing. These [FF6B6B]radioactive cores[FFFFFF] are the [8B0000]heart of uranium bullets[FFFFFF], providing [FF4500]devastating penetration[FFFFFF] against [FF6B6B]armored targets[FFFFFF]. [FFFF00]Extremely dangerous[FFFFFF] to handle and [FFA500]expensive to produce[FFFFFF], each core represents [66FF66]concentrated radioactive power[FFFFFF]."

resourceNapalmGel,,,Napalm Gel
resourceNapalmGelDesc,,,"[FF6600]Thick, sticky incendiary gel[FFFFFF] created by combining [FFA500]oil with polymer thickening agents[FFFFFF] at a [00FFFF]chemistry station[FFFFFF]. This [FF4500]highly combustible compound[FFFFFF] is the [8B0000]core component of incendiary ammunition[FFFFFF], designed to [FF0000]adhere to targets and burn intensely[FFFFFF]. The [FF6600]gel consistency[FFFFFF] ensures [FF4500]sustained burning[FFFFFF] while the [FFFF00]chemical composition[FFFFFF] makes it [FF0000]extremely dangerous[FFFFFF] to handle. Used in [FFA500]military incendiary weapons[FFFFFF] for [8B0000]maximum fire damage[FFFFFF]."



ammoUraniumBullet9mm,,,Uranium 9mm Bullet
ammoUraniumBullet9mmDesc,,,"[66FF66]Radioactive 9mm ammunition[FFFFFF] crafted with [66FF66]enriched uranium cores[FFFFFF]. These bullets deliver [FF4500]devastating damage[FFFFFF] and [FF6B6B]extreme armor penetration (-85%)[FFFFFF] against [8B0000]living targets[FFFFFF]. [66FF66]Inflicts radiation poisoning[FFFFFF] that deals [FF4500]damage over time[FFFFFF], [FFA500]slows movement[FFFFFF], and [FF6B6B]stacks with each hit[FFFFFF]. The [66FF66]uranium payload[FFFFFF] can [FF4500]penetrate 3 enemies[FFFFFF] in a single shot. [FF0000]Ineffective against structures[FFFFFF]."

ammoUraniumBullet44Mag,,,Uranium .44 Magnum Bullet
ammoUraniumBullet44MagDesc,,,"[66FF66]High-caliber uranium ammunition[FFFFFF] designed for [8B0000]maximum stopping power[FFFFFF] against [FF6B6B]armored enemies (-85% armor)[FFFFFF]. The [66FF66]enriched uranium core[FFFFFF] delivers [FF4500]catastrophic damage[FFFFFF] and [66FF66]inflicts radiation poisoning[FFFFFF] causing [FF4500]damage over time[FFFFFF] and [FFA500]reduced mobility[FFFFFF]. Each hit [FF6B6B]extends the radiation duration[FFFFFF]. Can [FF4500]penetrate 3 enemies[FFFFFF]. [FF0000]Poor against structures[FFFFFF]."

ammoUraniumBullet762mm,,,Uranium 7.62mm Bullet
