Key,File,Type,UsedInMainMenu,NoTranslate,english

Siren,entityclasses,Entity,,,"Siren"
RadiatedSiren,entityclasses,Entity,,,"Radiated Siren"
Ghast,entityclasses,Entity,,,"Ghast"
Leshii,entityclasses,Entity,,,"Leshii"
RadiatedLeshii,entityclasses,Entity,,,"Radiated Leshii"
zombiePrototypeDemolition,entityclasses,Entity,,,"Prototype Demolition"
FloodSmallMinion,entityclasses,Entity,,,"Flood Creeper"
FloodVessel,entityclasses,Entity,,,"Flood Vessel"

Stitch,entityclasses,Entity,,,"Stitch"
GraveSurgeon,entityclasses,Entity,,,"Grave Surgeon"
IridescentHuntress,entityclasses,Entity,,,"Iridescent Huntress"
FlyingCinderBoss,entityclasses,Entity,,,"Lucifer"
Cinder,entityclasses,Entity,,,"Cinder spawn"
Cinder2,entityclasses,Entity,,,"Cinder spawn"
Cinder3,entityclasses,Entity,,,"Cinder spawn"
Cinder4,entityclasses,Entity,,,"Cinder spawn"
Cinder5,entityclasses,Entity,,,"Cinder spawn"
Cinder6,entityclasses,Entity,,,"Cinder spawn"
Cinder7,entityclasses,Entity,,,"Cinder spawn"
Cinder8,entityclasses,Entity,,,"Cinder spawn"
Cinder9,entityclasses,Entity,,,"Cinder spawn"

Slenders,entityclasses,Entity,,,"Slenders"
Slenders2,entityclasses,Entity,,,"Slenders"
Slenders3,entityclasses,Entity,,,"Slenders"
Slenders4,entityclasses,Entity,,,"Slenders"
Slenders5,entityclasses,Entity,,,"Slenders"
Slenders6,entityclasses,Entity,,,"Slenders"
Slenders7,entityclasses,Entity,,,"Slenders"
Slenders8,entityclasses,Entity,,,"Slenders"
Slenders9,entityclasses,Entity,,,"Slenders"

Spectral,entityclasses,Entity,,,"Spectral"
Spectral2,entityclasses,Entity,,,"Spectral"
Spectral3,entityclasses,Entity,,,"Spectral"
Spectral4,entityclasses,Entity,,,"Spectral"
Spectral5,entityclasses,Entity,,,"Spectral"
Spectral6,entityclasses,Entity,,,"Spectral"
Spectral7,entityclasses,Entity,,,"Spectral"
Spectral8,entityclasses,Entity,,,"Spectral"
Spectral9,entityclasses,Entity,,,"Spectral"

GraveSpawn,entityclasses,Entity,,,"Grave spawn"
GraveSpawn2,entityclasses,Entity,,,"Grave spawn"
GraveSpawn3,entityclasses,Entity,,,"Grave spawn"
GraveSpawn4,entityclasses,Entity,,,"Grave spawn"
GraveSpawn5,entityclasses,Entity,,,"Grave spawn"
GraveSpawn6,entityclasses,Entity,,,"Grave spawn"
GraveSpawn7,entityclasses,Entity,,,"Grave spawn"
GraveSpawn8,entityclasses,Entity,,,"Grave spawn"
GraveSpawn9,entityclasses,Entity,,,"Grave spawn"

CurseCure,Items,item,,,"Curse Cure"
CurseCureDesc,Items,item,,,"[c7a340]Drinking this will cure you of all curses given by the siren[-]"

HostingCure,Items,item,,,"Hosting Cure"
HostingCureDesc,Items,item,,,"[c7a340]Drinking this will cure you of all parasites given by the flood[-]"
