Key,English
V_ML_Name1," Handgun Mastery"
V_ML_Name2," Machinegun Mastery"
V_ML_Name3," Shotgun Mastery"
V_ML_Name4," Rifle Mastery"
V_ML_Name5," Sledgehammer Mastery"
V_ML_Name6," Club Weapon Mastery"
V_ML_Name7," Fist Weapon Mastery"
V_ML_Name8," Blade Weapon Mastery"
V_ML_Name9," Spear Weapon Mastery"
V_ML_Name10," Repair-Tool Mastery"
V_ML_Name11," Salvage-Tool Mastery"
V_ML_Name12," Robotic Mastery"
V_ML_Name13," Bow/Crossbow Mastery"
V_ML_Name14," Pickaxe/Auger Mastery"
V_ML_Name15," Axe/Chainsaw Mastery"
V_ML_Name16," Shovel Mastery"
buffMLUp1Message,"[ff0000]Handgun Mastery increased![-]"
buffMLUp2Message,"[ff0000]Machinegun Mastery increased![-]"
buffMLUp3Message,"[ff0000]Shotgun Mastery increased![-]"
buffMLUp4Message,"[ff0000]Rifle Mastery increased![-]"
buffMLUp5Message,"[ff0000]Sledgehammer Mastery increased![-]"
buffMLUp6Message,"[ff0000]Club Weapons Mastery increased![-]"
buffMLUp7Message,"[ff0000]Fist Weapons Mastery increased![-]"
buffMLUp8Message,"[ff0000]Blade Weapons Mastery increased![-]"
buffMLUp9Message,"[ff0000]Spear Weapons Mastery increased![-]"
buffMLUp10Message,"[ff0000]Repair-Tool Mastery increased![-]"
buffMLUp11Message,"[ff0000]Salvage-Tool Mastery increased![-]"
buffMLUp12Message,"[ff0000]Robotic Mastery increased![-]"
buffMLUp13Message,"[ff0000]Bow/Crossbow Mastery increased![-]"
buffMLUp14Message,"[ff0000]Pickaxe/Auger Mastery increased![-]"
buffMLUp15Message,"[ff0000]Axe/Chainsaw Mastery increased![-]"
buffMLUp16Message,"[ff0000]Shovel Mastery increased![-]"
buffMasteryLevel,"Action Mastery"
buffMasteryLeveldesc,"This Buff is only for selfcontrol \nBuff is running \n \n[ff0000]Press on the Red Medal Icon left from the Crafting Button from the Top Bar to get a overview."

ttkey_vam, "Action Mastery"
Vam_SI_EffectTitle_Tooltip, "Current Equipment Effect"
Vam_SI_SkillListTitle_Tooltip, "Mastery List"
Vam_SI_EffectTitle, "Current Equipment Effect"
Vam_SI_SkillListTitle, "Mastery List"
V_Info_EntityDamage, "Bonus Damage"
V_Info_BlockDamage_Tools, "Block Damage (Tools)"
V_Info_BlockDamage_Melee, "Block Damage (Melee)"
V_Info_BlockDamage_Ranged, "Block Damage (Ranged)"
V_Info_AttackSpeed, "Bonus Attackspeed"
V_Info_MagazineSize, "Bonus Magazinesize"
V_Info_DegradationPerUse, "Bonus Degradation Usage"

V_Info_BlockDamage_Tools_Tooltip, "Block damage bonus for tools: Pickaxes, Axes, Shovels, Sledgehammers, Repair Tools, Salvage Tools"
V_Info_BlockDamage_Melee_Tooltip, "Block damage bonus for melee weapons: Clubs, Knuckles, Blades, Spears (25% of tool bonus)"
V_Info_BlockDamage_Ranged_Tooltip, "Block damage bonus for ranged weapons: Guns, Bows, Robotic weapons (10% of tool bonus)"
