Key,File,Type,english
# Combined Asylum Localization File
"# Generated from: TheAsylumCore, Asylum Farming, Asylum-Gourmet, AsylumMining"
""
# ============================================================================
# Honey Challenge Text Overrides (Asylum Core)
# ============================================================================
# Changed from "Harvest Honey" to "Destroy Tree Stumps" to reflect actual mechanic
challengeHarvestHoney,,,Destroy Tree Stumps
challengeHarvestHoneyShort,,,Destroy Tree Stumps to find Honey and Insects.
challengeHarvestHoneyDesc,,,"Destroying [DECEA3]Tree Stumps[-] will award you with [DECEA3]Honey[-] which can be used to treat and reduce the negative effects of an [DECEA3]Infection[-]. Watch out for [FF6666]Asylum Insects[-] that may emerge!\n\n[DECEA3]Infection[-] will begin to drain your [DECEA3]Stamina[-] and eventually your main [DECEA3]Attributes[-]. [DECEA3]Infections[-] are lethal within [DECEA3]7[-] in-game days.\n\nTreatments for [DECEA3]Infection[-] reduce the [DECEA3]Infection[-] progression by the amount listed on the item.\n\nThe [DECEA3]Infection[-] buff banner on the HUD will change to show the improvement status."
challengeStatHarvestHoney,,,Stumps Destroyed:
buffHarvestHoneyName,,,Stump Destroyed!
buffHarvestHoneyDesc,,,You destroyed a tree stump!

# Asylum Warning Note (overrides Duke note)
noteDuke01,,,Warning from The Asylum
noteDuke01Desc,,,"[FF0000]WARNING - ASYLUM TERRITORY[FFFFFF]\n[FF6666]You have entered our domain, survivor.[FFFFFF]\n[FF0000]Cross us and there will be consequences. We are not as forgiving as the old world.[FFFFFF]\n[FF00FF]The madness has only just begun...[FFFFFF]\n-The Asylum"

# White River Citizen Quest Completion (sends to trader)
quest_WhiteRiverCitizen1_description,,,"[FF6666]Excellent work, survivor.[FFFFFF]\n You have proven yourself capable in our twisted world. We have marked your map with the nearest White River Outpost location.\n[FFFF00]Visit the trader there to receive your Class Token[FFFFFF] - a representation of your past life before the madness consumed everything. This token will unlock your true potential.\n[FF00FF]The asylum's influence grows stronger...[FFFFFF]\n-The Asylum"
// meleeToolPickT3Jackhammer,,,Jackhammer
// meleeToolPickT3JackhammerDesc,,,"Make the ground tremble with this powerful Jackhammer and leave other miners in awe as you pulverize rocks in seconds. Fueled by sheer force, it's perfect for smashing rocks, but not so effective on metals."
ChooseCharacterDesc,,,[FFFF00]Welcome to the Asylum![FFFFFF]\n\nThe outbreak has begun. You have a [00FF00]Class Token[FFFFFF] representing your past life before the madness took hold. Choose wisely:\n\n[FF6666]• Ward Nurse[FFFFFF] - Former medical staff with healing knowledge\n[8B4513]• Workshop Patient[FFFFFF] - Repair therapy taught you to fix things\n[00AA00]• Garden Patient[FFFFFF] - Therapy in the gardens taught you to grow food\n[FFD700]• Groundskeeper Patient[FFFFFF] - You know the asylum's hidden areas\n[FF6B35]• Kitchen Patient[FFFFFF] - Food therapy taught you culinary skills\n[8FBC8F]• Security Patient[FFFFFF] - Former guard with survival instincts\n[556B2F]• Orderly Patient[FFFFFF] - Military background with combat training\n\n[FF00FF]Check the crafting menu for detailed backgrounds and equipment!
CobbledOldTurret,,,Cobbled Old Turret
CobbledOldTurretDesc,,,"A makeshift turret cobbled together from scrap parts and duct tape. It's not pretty, but it'll shoot anything you feed it."
DW_CropGrowPlate,,,Cursed Growth Plate
DW_CropGrowPlateDesc,,,A [00FF00]blood-stained metal plate[-] that pulses with unnatural energy. Plants grow unnaturally fast when exposed to its malevolent influence.
DW_GreenThumbElixer,,,Madman's Garden Elixir
DW_GreenThumbElixerDesc,,,A [00FF00]putrid green concoction[-] brewed from the fingernails of deceased patients. Forces nearby plants to grow at an alarming rate.
MtitaniumT_shapes,,,Titanium Shapes
SVETGAppleTreeEndEmpty,,,Harvested Apple Tree
SVETGBarCounter,,,[8B4513]Asylum Bar Counter[-]
SVETGBarCounterDesc,,,[8B4513]Professional bar station[-] from the [8B0000]Asylum's recreation room[-]. The [FFAA00]polished surface[-] is perfect for [AA0000]mixing cocktails[-] and [00FF00]serving spirits[-].\n\n[AAAAAA]Crafted in: Workbench[-]
SVETGBeeHive,,,[FFD700]Asylum Bee Hive[-]
SVETGBeeHiveDesc,,,[FFD700]Buzzing beehive[-] maintained in the [8B0000]Asylum's apiary[-]. The [FFAA00]hexagonal chambers[-] house [AA0000]busy worker bees[-] producing [00FF00]sweet honey[-].\n\n[AAAAAA]Crafted in: Workbench[-]
SVETGBeeHiveFull,,,[FFD700]Asylum Bee Hive (Full)[-]
SVETGBoarTrap,,,[8B4513]Asylum Boar Trap[-]
SVETGBoarTrapDesc,,,[8B4513]Heavy-duty trap[-] engineered in the [8B0000]Asylum's workshop[-]. The [FFAA00]reinforced design[-] can capture [AA0000]dangerous boars[-] for [00FF00]premium meat[-].\n\n[AAAAAA]Crafted in: Workbench[-]
SVETGBoarTrapFull,,,[8B4513]Asylum Boar Trap (Full)[-]
SVETGButcherTable,,,[8B0000]Asylum Butcher Table[-]
SVETGButcherTableDesc,,,[8B0000]Professional butcher station[-] from the [8B0000]Asylum's meat processing room[-]. The [FFAA00]stainless steel surface[-] is perfect for [AA0000]skinning and filleting[-] [00FF00]fresh game[-].\n\n[AAAAAA]Crafted in: Workbench[-]
SVETGCabbagePlant,,,Cabbage Plant
SVETGCabbagePlantPlayer,,,Cabbage Plant
SVETGCabbagegrowing,,,Young Cabbage
SVETGChickenCoop,,,[DEB887]Asylum Chicken Coop[-]
SVETGChickenCoopDesc,,,[DEB887]Secure chicken shelter[-] built in the [8B0000]Asylum's farmyard[-]. The [FFAA00]protective structure[-] keeps [AA0000]chickens safe[-] from predators while providing [00FF00]fresh eggs daily[-].\n\n[AAAAAA]Crafted in: Workbench[-]
SVETGChickenCoopFull,,,[DEB887]Asylum Chicken Coop (Full)[-]
SVETGChickenTrap,,,[DEB887]Asylum Chicken Trap[-]
SVETGChickenTrapDesc,,,[DEB887]Simple but effective trap[-] designed in the [8B0000]Asylum's workshop[-]. The [FFAA00]clever mechanism[-] captures [AA0000]wandering chickens[-] for [00FF00]fresh eggs and meat[-].\n\n[AAAAAA]Crafted in: Workbench[-]
SVETGChickenTrapFull,,,[DEB887]Asylum Chicken Trap (Full)[-]
SVETGCompostBin,,,[8B4513]Asylum Compost Bin[-]
SVETGCompostBinDesc,,,[8B4513]Organic waste container[-] from the [8B0000]Asylum's gardens[-]. The [FFAA00]decomposition process[-] transforms [AA0000]kitchen scraps[-] into [00FF00]nutrient-rich soil[-].\n\n[AAAAAA]Crafted in: Workbench[-]
SVETGCuttingBoard,,,[DEB887]Asylum Cutting Board[-]
SVETGCuttingBoardDesc,,,[DEB887]Heavy-duty cutting board[-] from the [8B0000]Asylum's kitchen[-]. The [FFAA00]thick wood surface[-] withstands [AA0000]countless preparations[-] for [00FF00]culinary creations[-].\n\n[AAAAAA]Crafted in: Inventory[-]
SVETGDecoSagesTools,,,Tribute to Sage
SVETGDecoSagesToolsDesc,,,"Sage's building tools — she likes to build a lot.\nI mean, a lot a lot.\n\n\n\n\n\n\nCrafted in: Workbench"
SVETGDecoSmitesCauldron,,,Tribute to Smite
SVETGDecoSmitesCauldronDesc,,,He uses this to brew his favorite thing — hotter-than-hell salsa.\nVery spicy.\n\n\n\n\n\n\nCrafted in: Workbench
SVETGDecoTheScriptHD,,,Script's Statue
SVETGDecoTheScriptHDDesc,,,"I wanted a statue as well, okay?\nWhy a samurai, you ask?\nWell, my logo is a samurai, it's red, and I'm a weeb.\nDon’t judge me.\n\n\n\n\n\n\nCrafted in: Workbench"
SVETGDecoWhiskeysWhiskey,,,Tribute to Whiskey
SVETGDecoWhiskeysWhiskeyDesc,,,"Whiskey on a rock and a pickaxe — both of his favorite things, I think.\n\n\n\n\n\n\nCrafted in: Workbench"
SVETGDecoWolfCarston,,,Tribute to Carston
SVETGDecoWolfCarstonDesc,,,A lone wolf and a Canadian. He likes his milk in a bag. Weird.\n\n\n\n\n\n\nCrafted in: Workbench
SVETGDeerTrap,,,[DEB887]Asylum Deer Trap[-]
SVETGDeerTrapDesc,,,"[DEB887]Gentle trap[-] crafted in the [8B0000]Asylum's workshop[-]. The [FFAA00]humane design[-] captures [AA0000]graceful deer[-] for [00FF00]lean, healthy meat[-].\n\n[AAAAAA]Crafted in: Workbench[-]"
SVETGDeerTrapFull,,,[DEB887]Asylum Deer Trap (Full)[-]
SVETGFermentingBarrel,,,[8B4513]Asylum Fermenting Barrel[-]
SVETGFermentingBarrelDesc,,,[8B4513]Wooden fermenting barrel[-] from the [8B0000]Asylum's distillery[-]. The [FFAA00]aged oak[-] imparts [AA0000]complex flavors[-] to [00FF00]alcoholic beverages[-] during fermentation.\n\n[AAAAAA]Crafted in: Workbench[-]
SVETGFishTrap,,,[87CEEB]Asylum Fish Trap[-]
SVETGFishTrapDesc,,,[87CEEB]Aquatic trap[-] designed in the [8B0000]Asylum's workshop[-]. The [FFAA00]mesh design[-] captures [AA0000]swimming fish[-] for [00FF00]fresh seafood[-].\n\n[FF8C00]Can be placed anywhere (water restriction not implemented)[-]\n\n[AAAAAA]Crafted in: Workbench[-]
SVETGFishTrapFull,,,[87CEEB]Asylum Fish Trap (Full)[-]
SVETGOnionPlant,,,Onion Plant
