Key,english

egt1backpack, "[1e9d16](T1 A)[-] Patient's Burden"
egt2backpack, "[bc52e7](T2 A)[-] Orderly's Cache"
egt3backpack, "[fb4f21](T3 A)[-] Warden's Vault"

egt1nerd, "[1e9d16](T1 A)[-] Fractured Mind"
egt2nerd, "[bc52e7](T2 A)[-] Shattered Psyche"
egt3nerd, "[fb4f21](T3 A)[-] Broken Genius"

egmodArmorPerception, "[fb4f21](T3 A)[-] Third Eye Implant"
egmodArmorStrength, "[fb4f21](T3 A)[-] Berserker's Rage"
egmodArmorFortitude, "[fb4f21](T3 A)[-] Undying Will"
egmodArmorAgility, "[fb4f21](T3 A)[-] Shadow Step"
egmodArmorIntellect, "[fb4f21](T3 A)[-] Madman's Brilliance"

egt1lightweight, "[1e9d16](T1 A)[-] Phantom Stride"
egt2lightweight, "[bc52e7](T2 A)[-] Wraith's Grace"
egt3lightweight, "[fb4f21](T3 A)[-] Specter's Flight"

egt1reward, "[bc52e7](T2 A)[-] Twisted Bargain"
egt2reward, "[fb4f21](T3 A)[-] Devil's Deal"
egt3reward, "[ff0000](T4 A)[-] Infernal Compact"


egt1lumber, "[1e9d16](T1 A)[-] Grave Digger"
egt2lumber, "[bc52e7](T2 A)[-] Corpse Harvester"
egt3lumber, "[fb4f21](T3 A)[-] Soul Reaper"

egt1barter, "[1e9d16](T1 A)[-] Silver Tongue"
egt2barter, "[bc52e7](T2 A)[-] Dark Persuasion"
egt3barter, "[fb4f21](T3 A)[-] Demon's Whisper"

egt1resist, "[1e9d16](T1 A)[-] Padded Cell Lining"
egt2resist, "[bc52e7](T2 A)[-] Straitjacket Weave"
egt3resist, "[fb4f21](T3 A)[-] Warden's Plate"

egt1zombiedamage, "[1e9d16](T1 A)[-] Exorcist's Touch"
egt2zombiedamage, "[bc52e7](T2 A)[-] Zealot's Wrath"
egt3zombiedamage, "[fb4f21](T3 A)[-] Inquisitor's Fury"

egt1looter, "[1e9d16](T1 A)[-] Pickpocket's Twitch"
egt2looter, "[bc52e7](T2 A)[-] Kleptomaniac's Reflex"
egt3looter, "[fb4f21](T3 A)[-] Master Thief's Instinct"

egt1hp, "[1e9d16](T1 A)[-] Twisted Vitality"
egt2hp, "[bc52e7](T2 A)[-] Unholy Constitution"
egt3hp, "[fb4f21](T3 A)[-] Abomination's Vigor"

egt1stamina, "[1e9d16](T1 A)[-] Manic Energy"
egt2stamina, "[bc52e7](T2 A)[-] Psychotic Drive"
egt3stamina, "[fb4f21](T3 A)[-] Asylum Endurance"

egt1harvest, "[1e9d16](T1 A)[-] Withered Touch"
egt2harvest, "[bc52e7](T2 A)[-] Blighted Harvest"
egt3harvest, "[fb4f21](T3 A)[-] Plague Farmer"

egt1damage, "[1e9d16](T1 A)[-] Malice Injection"
egt2damage, "[bc52e7](T2 A)[-] Hatred Amplifier"
egt3damage, "[fb4f21](T3 A)[-] Wrath Conduit"

egt1atkspeed, "[1e9d16](T1 A)[-] Tremor Inducer"
egt2atkspeed, "[bc52e7](T2 A)[-] Frenzy Catalyst"
egt3atkspeed, "[fb4f21](T3 A)[-] Hysteria Engine"

egt1usage, "[1e9d16](T1 A)[-] Hollow Stomach"
egt2usage, "[bc52e7](T2 A)[-] Fasting Spirit"
egt3usage, "[fb4f21](T3 A)[-] Starvation Immunity"

egt1xp, "[1e9d16](T1 A)[-] Tortured Wisdom"
egt2xp, "[bc52e7](T2 A)[-] Nightmare Lessons"
egt3xp, "[fb4f21](T3 A)[-] Asylum Enlightenment"



egt1backpackdesc, "[1e9d16](Tier 1 - Basic)[-] A repurposed asylum storage bag. Increase your Inventory Slots by 16."
egt2backpackdesc, "[bc52e7](Tier 2 - Improved)[-] Stolen from the orderly's quarters. Increase your Inventory Slots by 20."
egt3backpackdesc, "[fb4f21](Tier 3 - Advanced)[-] The Warden's personal secure container. Increase your Inventory Slots by 32."

egt1nerddesc, "[1e9d16](Tier 1 - Basic)[-] Your fractured mind absorbs knowledge erratically. 33% Chance to get double Magazine Points. \n \n \n[ff0000]Warning[-]: Not stackable and not working with the Intellect Mastery/Nerd Outfit."
egt2nerddesc, "[bc52e7](Tier 2 - Improved)[-] Your shattered psyche processes information in twisted ways. 66% Chance to get double Magazine Points. \n \n \n[ff0000]Warning[-]: Not stackable and not working with the Intellect Mastery/Nerd Outfit."
egt3nerddesc, "[fb4f21](Tier 3 - Advanced)[-] Complete mental breakdown grants perfect clarity. 100% Chance to get double Magazine Points. \n \n \n[ff0000]Warning[-]: Not stackable and not working with the Intellect Mastery/Nerd Outfit."

egmodArmorPerceptiondesc, "[fb4f21](Tier 3 - Advanced)[-] An experimental implant that opens your third eye. +2 Perception."
egmodArmorStrengthdesc, "[fb4f21](Tier 3 - Advanced)[-] Channel the rage of the asylum's most violent patients. +2 Strength."
egmodArmorFortitudedesc, "[fb4f21](Tier 3 - Advanced)[-] Survive what would kill others through sheer willpower. +2 Fortitude."
egmodArmorAgilitydesc, "[fb4f21](Tier 3 - Advanced)[-] Move through shadows like the escaped patients of legend. +2 Agility."
egmodArmorIntellectdesc, "[fb4f21](Tier 3 - Advanced)[-] The line between genius and madness is razor thin. +2 Intellect."

egt1lightweightdesc, "[1e9d16](Tier 1 - Basic)[-] Ghostly modifications let you move like a phantom. Increase Movementspeed by 5%."
egt2lightweightdesc, "[bc52e7](Tier 2 - Improved)[-] Wraith-touched enhancements for silent pursuit. Increase Movementspeed by 10%."
egt3lightweightdesc, "[fb4f21](Tier 3 - Advanced)[-] Become as swift as a specter fleeing the asylum. Increase Movementspeed by 15%."

egt1rewarddesc, "[bc52e7](Tier 2 - Improved)[-] Strike a twisted bargain for better rewards. Grants +1 additional Quest-Reward."
egt2rewarddesc, "[fb4f21](Tier 3 - Advanced)[-] A deal with darker forces. Grants +2 additional Quest-Reward."
egt3rewarddesc, "[ff0000](Tier 4 - Legendary)[-] Sign the infernal compact and claim your unholy rewards. Grants +3 additional Quest-Reward."


egt1lumberdesc, "[1e9d16](Tier 1 - Basic)[-] Grave digger's techniques for efficient gathering. Increase Harvestcount by 10%."
egt2lumberdesc, "[bc52e7](Tier 2 - Improved)[-] Harvest the dead with practiced efficiency. Increase Harvestcount by 20%."
egt3lumberdesc, "[fb4f21](Tier 3 - Advanced)[-] Reap souls and resources with supernatural efficiency. Increase Harvestcount by 30%."

egt1barterdesc, "[1e9d16](Tier 1 - Basic)[-] A silver tongue honed in the asylum's black markets. Reduce Traderprices by 3%."
egt2barterdesc, "[bc52e7](Tier 2 - Improved)[-] Dark persuasion techniques learned from the inmates. Reduce Traderprices by 6%."
egt3barterdesc, "[fb4f21](Tier 3 - Advanced)[-] Whisper like a demon to bend traders to your will. Reduce Traderprices by 10%."

egt1resistdesc, "[1e9d16](Tier 1 - Basic)[-] Padding salvaged from padded cells. Increase damage resist against Zombies by 3%."
egt2resistdesc, "[bc52e7](Tier 2 - Improved)[-] Woven from restraint materials that held the violent. Increase damage resist against Zombies by 6%."
